,tweet_text,date,hashtags,link
0,"Hi @amazonDE, kurze Nachfrage: wann plant ihr flächendeckend #AmazonLocker in den Städten und Gemeinden westlich der A44 und A61 bzw. nördlich und südlich der A52 in dem Gebiet, wie etwa Viersen, Schwalmtal oder Niederkrüchten? Merci!",2019-12-31 18:20:05+00:00,#AmazonLocker,https://twitter.com/ape_astronaut/status/1212075971295232000
1,Quand tu découvres le colis de ton Nikon Z6 vide dans un #Amazon #AmazonLocker #VDM la veille de Noël !! #AmazonPrime et que tu auras la réponse de l’enquête vendredi !!,2019-12-23 21:25:53+00:00,#Amazon #AmazonLocker #VDM #AmazonPrime,https://twitter.com/jeremysanglier/status/1209223627868180491
2,Entro il 2020 saranno 100 gli #AmazonLocker presenti nelle stazioni di Ferrovienord Inaugurata quella di #cadorna #ecommerce #amazon #innovazione,2019-12-20 15:07:16+00:00,#AmazonLocker #cadorna #ecommerce #amazon #innovazione,https://twitter.com/jusan_network/status/1208041181180858368
3,"Don't forget we have an #amazonlocker in store, so you don't have to miss any of your Christmas deliveries #christmaspresents #christmasdeliveries",2019-12-20 12:21:01+00:00,#amazonlocker #christmaspresents #christmasdeliveries,https://twitter.com/shltd36/status/1207999341828415490
4,"I had a package ship via #lasership @amazon a week late; I requested a refund, then I got a text that it was available at my #AmazonLocker ",2019-12-15 05:13:34+00:00,#lasership #AmazonLocker,https://twitter.com/amy_grech/status/1206079833337454593
5,Colorado mom lets porch pirates take out her trash with decoy packages: 'They deserve it' For God sakes have the packages sent to an amazon locker they are everywhere! Or a POB. Then they won’t get stolen #AmazonLocker ,2019-12-13 11:19:58+00:00,#AmazonLocker,https://twitter.com/OpenUpTheUSANOW/status/1205447261943033856
6,بالاخره یکی انجامش داد. #SmartLockers #AmazonLocker ,2019-12-10 04:20:34+00:00,#SmartLockers #AmazonLocker,https://twitter.com/amirtaqiabadi/status/1204254556017897473
7,"@JonnyGators .. I meant to add .. last week, I was going to ship to a local #AmazonLocker .. but the locker was full! #CantWinforLosing",2019-12-10 04:09:09+00:00,#AmazonLocker #CantWinforLosing,https://twitter.com/BrianBlues/status/1204251682751729664
8,"Utilizzo #Amazon almeno 2 volte al mese ormai, sopratutto da quando sono disponibili in giro per le nostre città gli #AmazonLocker; gli armadietti gialli che ti danno la possibilità di ritirare gli acquisti per chi non ha la possibilità di ricevere i pacchetti a casa. #petrolio",2019-12-06 21:10:25+00:00,#Amazon #AmazonLocker #petrolio,https://twitter.com/_johnny94_/status/1203059139846512642
9,Used Amazon Locker for the first time today - very handy #amazonlocker @Hook Village https://www.instagram.com/p/B5vIKjYh1bI9RjQ_f5BgU5pm-lVttUWDmAsiqQ0/?igshid=14ay1vnus52w0,2019-12-06 15:41:25+00:00,#amazonlocker,https://twitter.com/SimonBuxey/status/1202976344839245825
10,Soy súper fan del @amazon locker #amazonlocker eso de saber que puedes ir a recoger tu paquete las 24 horas del@día es una gozada! ,2019-12-05 15:41:09+00:00,#amazonlocker,https://twitter.com/isaacfotografia/status/1202613889357225984
11,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-12-04 18:00:20+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1202286527495192577
12,I bambini dell’ospedale San Bortolo di Vicenza avranno il loro calendario dell’avvento grazie ad un #AmazonLocker speciale. #DeliveringSmiles,2019-12-04 17:04:37+00:00,#AmazonLocker #DeliveringSmiles,https://twitter.com/Marseglia/status/1202272505374920704
13,"Du 1er au 24 décembre, @funradio_fr, @AmazonNewsFR et @InitiativeWW couvrent les auditeurs de cadeaux ! Un #AmazonLocker transformé en #CalendrierdeLavent géant est installé dans les locaux de la station et chaque jour, une dotation est mise en jeu http://bit.ly/AmazonLockerM6",2019-12-04 15:55:30+00:00,#AmazonLocker #CalendrierdeLavent,https://twitter.com/m6publicite/status/1202255111990521856
14,Are you out and about all day? Why not make your Christmas shopping a whole lot easier and collect your parcels from our #AmazonLocker See more here: http://bit.ly/2WXaAut,2019-12-04 11:57:09+00:00,#AmazonLocker,https://twitter.com/StJohnsShopping/status/1202195130536669185
15,"MXP3, Amazon | prima il dovere... poi il piacere #paolomartinezphotography #deliveringsmiles #amazon #amazonlocker @Amazon Vercelli https://www.instagram.com/p/B5nXzRLoepE/?igshid=1lsj83gobj5lf",2019-12-03 15:24:10+00:00,#paolomartinezphotography #deliveringsmiles #amazon #amazonlocker,https://twitter.com/paoloramella/status/1201884842083803138
16,Metro Ligero Oeste incorpora una taquilla de autoservicio de Amazon en la estación de Aravaca https://www.vialibre.org/noticias.asp?not=28576&amp;cs=oper @Renfe @CercaniasMadrid @MLOeste #ML2 #ML3 @amazon #AmazonLocker ,2019-12-03 08:21:54+00:00,#ML2 #ML3 #AmazonLocker,https://twitter.com/RevistaViaLibre/status/1201778573394268165
17, Bankacılık ve ödeme teknolojilerinde haftanın 5+1 önemli gelişmesi #YüzTanima #OrtakQRKod #Discover #Paypal #Vitality #AmEx #AmazonLocker #CBA #bunq #GreenCard Medium https://medium.com/@hotan/bankac&#x131;l&#x131;k-ve-&#xF6;deme-teknolojilerinde-haftan&#x131;n-&#xF6;ne-&#xE7;&#x131;kan-5-1-geli&#x15F;mesi-2370771a4f13 LinkedIn https://www.linkedin.com/pulse/bankac%C4%B1l%C4%B1k-ve-%C3%B6deme-teknolojilerinde-haftan%C4%B1n-%C3%B6ne-%C3%A7%C4%B1kan-okan-yildiz-8e,2019-12-02 10:50:11+00:00,#Y #OrtakQRKod #Discover #Paypal #Vitality #AmEx #AmazonLocker #CBA #bunq #GreenCard,https://twitter.com/okan_yildiz/status/1201453501311856641
18,"Today is CYBER MONDAY! Don't forget you can order your amazon parcels to our amazon locker, BRISBANE! You'll find me inside the centre opposite Costa Coffee. #shopdineenjoy #amazonlocker #clickandcollect",2019-12-02 07:27:00+00:00,#shopdineenjoy #amazonlocker #clickandcollect,https://twitter.com/HempsteadValley/status/1201402368123981824
19,Metro Ligero Oeste incorpora un “Amazon Locker” en la estación de Aravaca #Madrid #Aravaca #AmazonLocker @MLOeste,2019-12-01 12:08:35+00:00,#Madrid #Aravaca #AmazonLocker,https://twitter.com/Gacetinmadrid/status/1201110842755964928
20,"Hey @AmazonUK &amp; @InPostUK Your #AmazonLocker at Barry @Morrisons isn’t working! I just tried to help an elderly couple but there’s a fault, it thinks they want to deposit a parcel! Can you help? It’s something medical &amp; he needs it tonight!! Is there a number he can call? #Amazon",2019-11-28 19:17:18+00:00,#AmazonLocker #Amazon,https://twitter.com/jessywillow1/status/1200131569878491136
21,Taanntooo tempo fa. Risolto con i santi #amazonlocker comunque ,2019-11-28 09:32:38+00:00,#amazonlocker,https://twitter.com/CjHellectric/status/1199984435472584705
22,#amazon #amazonlocker #pammachio #metropolitaneo #urbanstyle #urban #night #nightphotography #instamazon #instagram #instagrammer #instagood #instapic #instadaily #codroipo #igersfriuli #picoftheday @Codroipo https://www.instagram.com/p/B5YXtrBowLL/?igshid=5vi4bm4gaoh1,2019-11-27 19:34:49+00:00,#amazon #amazonlocker #pammachio #metropolitaneo #urbanstyle #urban #night #nightphotography #instamazon #instagram #instagrammer #instagood #instapic #instadaily #codroipo #igersfriuli #picoftheday,https://twitter.com/edgyken/status/1199773591291781127
23,"[#CaBougeEnGare] Réceptionner son colis en journée ? C'est un casse-tête pour bon nombre d'entre nous ! D'où le service #AmazonLocker en gare. Vos derniers achats sont disponibles à la sortie du #TER, sans détour. Ce mois-ci, c'est la gare des #Sables qui en est dotée.",2019-11-26 17:05:42+00:00,#CaBougeEnGare #AmazonLocker #TER #Sables,https://twitter.com/TERPays2LaLoire/status/1199373675209908226
24,La semplicità degli #AmazonLocker è disarmante.,2019-11-25 18:57:45+00:00,#AmazonLocker,https://twitter.com/PedioUichi/status/1199039487634006018
25,Hello my name is brisbane and I'm your Amazon locker at Hempstead Valley! You'll find me inside the centre opposite Costa Coffee. #shopdineenjoy #amazonlocker #clickandcollect,2019-11-25 12:23:00+00:00,#shopdineenjoy #amazonlocker #clickandcollect,https://twitter.com/HempsteadValley/status/1198940144218230784
26,Always on the move and away from home? Pick up your parcels in your own time using our #AmazonLocker See more here: https://bit.ly/2XiZhx9,2019-11-22 11:30:03+00:00,#AmazonLocker,https://twitter.com/StJohnsShopping/status/1197839655263252485
27,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-11-19 16:02:52+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1196821148702519297
28,My favourite feature of @AmazonUK lockers is the tactile feedback you get when the compartment door automatically swings open and hits you on the head to indicate where your parcel is #Amazon #AmazonLocker,2019-11-14 20:57:09+00:00,#Amazon #AmazonLocker,https://twitter.com/riscarrott/status/1195083268904935424
29,Ya hay Amazon Locker. Está afuera de las oficinas de @amazonmex Hagan su pedido y lo pueden recoger aquí. #AmazonLocker ,2019-11-14 17:55:16+00:00,#AmazonLocker,https://twitter.com/lauriutz/status/1195037494305263621
30,@AmazonUK so my #delivery tracker says it’s out for delivery at 12pm and now it’s 7pm and the item still has not been delivered to my #amazonLocker - very disappointed to be honest ,2019-11-13 19:07:09+00:00,#delivery #amazonLocker,https://twitter.com/mrfto73/status/1194693196909096962
31,Best way to make sure package Pirates dont jack you're shit : #AmazonLocker ,2019-11-13 13:05:21+00:00,#AmazonLocker,https://twitter.com/SeanDro_/status/1194602148627197953
32,tweet tweet. just picked up an order from the local #amazonlocker. so cool.,2019-11-09 03:59:37+00:00,#amazonlocker,https://twitter.com/kandrich/status/1193015258803265536
33,Grazie #amazon #amazonlocker per la puntualità nella consegna. Ringrazio il #corriere che ha provveduto a consegnare il pacco contenente un gioco che si basa su un corriere al quale giocherà uno che ha a che fare coi corrieri tutti i giorni. #DeathStranding mi porto a casa il,2019-11-08 19:10:11+00:00,#amazon #amazonlocker #corriere #DeathStranding,https://twitter.com/CjHellectric/status/1192882020998897664
34,"Tranquilli tranquilli. Entro oggi (8 nov) alle 23.59 al ""mio"" #amazonlocker di fiducia. Nel mentre già arrivata email con codice per materiale Bonus.",2019-11-07 23:15:33+00:00,#amazonlocker,https://twitter.com/CjHellectric/status/1192581381894729728
35,"Camped out waiting for that #amazon truck that’s like 8 stops away, since I forgot to select the #AmazonLocker for drop off and sadly ppl be stealing anything with amazon, target or EBay on the package. – at The Boulevard",2019-11-07 19:44:55+00:00,#amazon #AmazonLocker,https://twitter.com/boredinde/status/1192528374721323015
36,"#amazonuk #amazondelivery #amazonflex good people of Great Britain, stop ordering shit if you ain't gonna be in or be bothered to leave comprehensive alternatives. Why not try an #amazonlocker instead???",2019-11-07 12:56:16+00:00,#amazonuk #amazondelivery #amazonflex #amazonlocker,https://twitter.com/mummymac70/status/1192425535718273025
37,"If you want to know how Python Dictionaries work, just think of an Amazon Locker. #coding #tech #python #python3 #programming #programmer #codingtips #dev #developer #codinglife #code #learntocode #yellow #amazon #amazonlocker #bryson",2019-11-06 01:21:19+00:00,#coding #tech #python #python3 #programming #programmer #codingtips #dev #developer #codinglife #code #learntocode #yellow #amazon #amazonlocker #bryson,https://twitter.com/mind_of_bryson/status/1191888259401449472
38,Don't forget we have an amazon locker in store - never miss your orders again. #amazonlocker #amazon #amazondelivery,2019-11-05 08:46:01+00:00,#amazonlocker #amazon #amazondelivery,https://twitter.com/shltd36/status/1191637781052841984
39,Had to reorder the item I never got and this time decided to use the #AmazonLocker to make sure it didn't go missing. I have to wait until Tuesday for then to process a refund.,2019-11-04 23:47:08+00:00,#AmazonLocker,https://twitter.com/Sirius720/status/1191502168152514566
40,A me arriverà da #amazonlocker ma fino a questa sera o domani sera nun se prova. ,2019-10-31 05:49:16+00:00,#amazonlocker,https://twitter.com/CjHellectric/status/1189781362611494912
41,"@AmazonUK love that I have an #amazonlocker next to my house now, but when my parcel is delivered to the top shelf and I can’t reach it, it proves an issue!!!! #shortgirlproblems",2019-10-28 17:14:46+00:00,#amazonlocker #shortgirlproblems,https://twitter.com/natalielumb10/status/1188866708888576002
42,Away from home on the reg? Collect and return your parcels with no hassle See more information about Amazon Locker here: http://bit.ly/2WXaAut #AmazonLocker #Liverpool,2019-10-27 11:40:02+00:00,#AmazonLocker #Liverpool,https://twitter.com/StJohnsShopping/status/1188420082919264256
43,Vai all #amazonlocker con la tua biciclettina... tanto son solo due giochi... e niente lo scatolone conteneva #CallofDutyModernWarfare stg price ed. Esclusiva #Amazon. Di #MediEvil ho paura già la copertina non è stampata bene... aiaiai #playstation #CallOfDuty,2019-10-25 11:33:42+00:00,#amazonlocker #CallofDutyModernWarfare #Amazon #MediEvil #playstation #CallOfDuty,https://twitter.com/CjHellectric/status/1187693713507659776
44,"E ciao! domani mi arriva la Sgt Price edition da #amazon. Tutti all #amazonlocker che quando digiti il codice e si apre lo scomparto, provi 'na sensazione única! ah, pure #MediEvil arriva. Yes!",2019-10-24 04:39:08+00:00,#amazon #amazonlocker #MediEvil,https://twitter.com/CjHellectric/status/1187226998499876866
45, ¿Has probado ya #AmazonLocker? Se llama Rita y es fiel a tus pedidos. Encuéntralo en el parking subterráneo de Imaginalia . Agrega a tu libreta de dirección http://www.amazon.es/lockerrita. ¡Súper práctico! ,2019-10-22 13:20:14+00:00,#AmazonLocker,https://twitter.com/ImaginaliaCC/status/1186633362888372225
46,Don’t say “sorry”. Just train your overseas customer service personnel (and maybe pay them better). I just spent 10 mins explaining to @Amazon customer service that #AmazonLocker is not “a store” where I can waltz in &amp; show ID 2 pickup package.,2019-10-20 19:32:36+00:00,#AmazonLocker,https://twitter.com/RashaElass/status/1186002296322347013
47,#amazonlocker#shirleyamazon#packyourshitandget @Ghirardelli Square https://www.instagram.com/p/B32SHoHhkbc/?igshid=4x7fdppqad0x,2019-10-20 17:20:17+00:00,,https://twitter.com/fohfolies/status/1185968995381346305
48,I #AmazonLocker,2019-10-20 06:13:45+00:00,#AmazonLocker,https://twitter.com/catherine__oh/status/1185801256025186306
